Player,Age,Pos,Min_24,90s_24,Gls_24,Ast_24,G+A_24,xG_24,npxG_24,xAG_24,PrgC_24,PrgP_24,PrgR_24,Min_25,90s_25,Gls_25,Ast_25,G+A_25,PrgC_25,PrgP_25,PrgR_25,xG_25,xAG_25,Age_current,GA_per90_24,xG_per90_24,xAG_per90_24,GA_per90_25,xG_per90_25,xAG_per90_25,GA_consistency,GA_volatility,xG_consistency,xG_volatility,xAG_consistency,xAG_volatility,GA_trend,xG_trend,xAG_trend,Pos_encoded,Pos_24
Aiman Dardari,,MF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,MF
Aimar Oroz,22.0,MF,2966.0,33.0,5.0,4.0,9.0,4.2,3.5,2.9,74.0,163.0,142.0,313.0,3.5,0.0,0.0,0.0,11.0,16.0,19.0,0.0,0.0,24.0,0.2727272727272727,0.1272727272727273,0.08787878787878788,0.0,0.0,0.0,0.13636363636363635,0.2727272727272727,0.06363636363636364,0.1272727272727273,0.04393939393939394,0.08787878787878788,-0.2727272727272727,-0.1272727272727273,-0.08787878787878788,3,MF
Aimen Moueffek,23.0,MF,1039.0,11.5,0.0,1.0,1.0,1.1,1.1,1.1,20.0,43.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.08695652173913043,0.09565217391304348,0.09565217391304348,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.04782608695652174,0.09565217391304348,0.04782608695652174,0.09565217391304348,-0.08695652173913043,-0.09565217391304348,-0.09565217391304348,3,MF
Aingeru Olabarrieta,18.0,FW,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,FW
Ainsley Maitland-Niles,26.0,DF,1985.0,22.1,1.0,4.0,5.0,2.9,2.9,3.4,33.0,102.0,110.0,360.0,4.0,0.0,2.0,2.0,5.0,13.0,16.0,0.0,1.6,28.0,0.2262443438914027,0.13122171945701355,0.15384615384615383,0.5,0.0,0.4,0.36312217194570134,0.2737556561085973,0.06561085972850678,0.13122171945701355,0.27692307692307694,0.2461538461538462,0.2737556561085973,-0.13122171945701355,0.2461538461538462,0,DF
Aitor Fernández,33.0,GK,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,GK
Aitor Paredes,24.0,DF,1812.0,20.1,3.0,0.0,3.0,2.3,2.3,0.1,4.0,46.0,2.0,360.0,4.0,1.0,0.0,1.0,1.0,14.0,0.0,0.85,0.0,26.0,0.14925373134328357,0.11442786069651739,0.004975124378109453,0.25,0.2125,0.0,0.19962686567164178,0.10074626865671643,0.16346393034825868,0.0980721393034826,0.0024875621890547263,0.004975124378109453,0.10074626865671643,0.0980721393034826,-0.004975124378109453,0,DF
Aitor Ruibal,28.0,DF,1313.0,14.6,1.0,3.0,4.0,0.9,0.9,2.4,21.0,50.0,64.0,212.0,2.4,1.0,0.0,1.0,1.0,10.0,15.0,0.85,0.0,30.0,0.273972602739726,0.06164383561643836,0.1643835616438356,0.4166666666666667,0.3541666666666667,0.0,0.3453196347031964,0.14269406392694067,0.20790525114155253,0.2925228310502283,0.0821917808219178,0.1643835616438356,0.14269406392694067,0.2925228310502283,-0.1643835616438356,0,DF
Akor Adams,24.0,FW,134.0,1.5,0.0,0.0,0.0,0.4,0.4,0.0,0.0,5.0,5.0,180.0,2.0,0.0,1.0,1.0,5.0,2.0,8.0,0.0,0.8,26.0,0.0,0.26666666666666666,0.0,0.5,0.0,0.4,0.25,0.5,0.13333333333333333,0.26666666666666666,0.2,0.4,0.5,-0.26666666666666666,0.4,1,FW
Aladji Bamba,,MF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,MF
